station_id,station_code,station_name,chainage_km,chainage_m,lat,lon
1,LKO,Lucknow Charbagh NR,0.00,0.0,26.8467,80.9462
2,LNWT,Lucknow West,1.72,1720.0,26.8510,80.9330
3,MKG,Manak Nagar,4.65,4650.0,26.8562,80.9105
4,AMS,Amausi,10.94,10940.0,26.7500,80.8890
5,POF,Piparsand,16.70,16700.0,26.7130,80.8745
6,HRN,Harauni,22.96,22960.0,26.6740,80.8510
7,JTU,Jaitipur,30.56,30560.0,26.6200,80.8100
8,KVX,Kusumbhi,34.90,34900.0,26.5900,80.7850
9,AJ,Ajgain,38.97,38970.0,26.5600,80.7600
10,SIC,Sonik,46.09,46090.0,26.5100,80.7100
11,ON,Unnao Junction,54.41,54410.0,26.5400,80.6200
12,MGW,Magarwara,60.63,60630.0,26.5200,80.5700
13,CPB,Kanpur Bridge,68.09,68090.0,26.4900,80.4200
14,CNB,Kanpur Central,71.96,71960.0,26.4499,80.3310
